year,Employment Rate (25-64),Population (25-64)
1950,,
1951,,
1952,,
1953,,
1954,,
1955,,
1956,,
1957,,
1958,,
1959,,
1960,,75422666.66666667
1961,,75946750.0
1962,,75976166.66666667
1963,,76500750.0
1964,,76942083.33333333
1965,,77329333.33333333
1966,,77676750.0
1967,,78422083.33333333
1968,,79447166.66666667
1969,,80297000.0
1970,,81267500.0
1971,,82246916.66666667
1972,,83852166.66666667
1973,,85148250.0
1974,,86765916.66666667
1975,,88115833.33333333
1976,,89580583.33333333
1977,69.63468831948062,91187333.33333333
1978,71.2141382108008,92911333.33333333
1979,72.09335287385115,94806416.66666667
1980,71.77775877035802,96681916.66666667
1981,72.02921829719124,98459000.0
1982,70.91059321563854,100428583.33333333
1983,71.10827842898793,102237333.33333333
1984,73.06944100380984,104436166.66666667
1985,73.88687607589195,106457416.66666667
1986,74.53054442379384,108907833.33333333
1987,75.6097259876422,111110666.66666667
1988,76.43642073070255,113206583.33333333
1989,77.22008901961526,115452666.66666667
1990,77.13568795407697,117351583.33333333
1991,76.17343183567908,118986333.33333333
1992,75.91163759171654,120922333.33333333
1993,76.20220596890071,122652333.33333333
1994,76.90838689715324,124330833.33333333
1995,77.43413007852227,125885833.33333333
1996,77.89916452073187,127651750.0
1997,78.54560419691356,129497583.33333333
1998,78.7475337971875,130664250.0
1999,78.96315667950108,131879666.66666667
2000,78.9503217309539,135012916.66666666
2001,78.1059177933716,136707500.0
2002,76.97680506289679,138386166.66666666
2003,76.4838614365612,140600916.66666666
2004,76.55950177873332,141422750.0
2005,76.88438575176626,143154583.33333334
2006,77.32592813675573,144868166.66666666
2007,77.35135675848352,146446666.66666666
2008,76.58153275512873,147266416.66666666
2009,73.45587380489035,148070166.66666666
2010,72.77644406403584,148586750.0
2011,72.69611177495266,148469000.0
2012,73.23559865504454,149023833.33333334
2013,73.37856950930224,149522750.0
2014,74.0915236256768,150013083.33333334
2015,74.54503091136117,151062250.0
2016,75.1219400488642,152226000.0
2017,75.78594562914473,152595916.66666666
2018,76.4697619496296,153743833.33333334
2019,77.03838906259558,153884500.0
2020,72.90080011548416,153338333.33333334
2021,74.21246190355416,153135571.42857143
